id,sentence_en,sentence_ja
27,Spirometry shows obstructive pattern.,スパイロメトリーで閉塞性障害のパターンを示しています。
28,Endocrinology should be consulted for management of this new diagnosis of Cushing's syndrome.,クッシング症候群の管理について、内分泌内科にコンサルトすべきです。
29,We're going to run some blood tests and an EKG right away to make sure nothing serious is going on with your heart.,心臓に深刻な問題が起きていないか確認するため、すぐに血液検査と心電図検査を行います。
30,"Flow cytometry results are pending, but the picture is concerning for acute leukemia.",フローサイトメトリーの結果はまだ出ていませんが、急性白血病が懸念される病像です。
31,"ICU liberation bundle components include daily SBT, sedation reduction, mobilization, delirium monitoring, and early sleep hygiene — let's document compliance for all.",ICU離脱バンドルの要素には、毎日のSBT、鎮静の軽減、早期離床、せん妄モニタリング、早期の睡眠衛生が含まれます。すべての実施状況を記録しましょう。
32,"You mentioned chest pain — does it radiate to your left arm, jaw, or back, and is it associated with shortness of breath?",胸の痛みがあるとおっしゃいましたが、左腕、顎、背中に放散しますか？また、息切れを伴いますか？
33,EKG shows ST elevation.,心電図でST上昇が見られます。
34,The aortic valve gradient on echo is significant enough to discuss surgical valve replacement.,エコーでの大動脈弁圧較差は、外科的弁置換術を検討するのに十分有意な値です。
35,The thyroid ultrasound shows a suspicious 2 cm nodule that warrants fine needle aspiration biopsy.,甲状腺エコーで疑わしい2cmの結節があり、穿刺吸引細胞診（FNA）を行う必要があります。
36,"If you have a list of your current medications, including over-the-counter drugs and supplements, that would be very helpful.",市販薬やサプリメントを含め、現在服用している薬のリストがあれば、非常に助かります。
37,"Before we send you home, we'll make sure you understand all of your new medications and have a follow-up appointment scheduled.",お帰りになる前に、新しい薬をすべて理解していただき、フォローアップの予約が取れていることを確認します。
38,"Given the witnessed fall and loss of consciousness, we need to distinguish between a seizure, a syncopal episode, and a cardiac arrhythmia.",目撃された転倒と意識消失を考慮すると、てんかん発作、失神エピソード、不整脈を鑑別する必要があります。
39,Compartment syndrome must be ruled out given the tense swelling in the lower leg.,下腿の緊満した腫脹を考慮すると、コンパートメント症候群を除外しなければなりません。
40,NIH stroke scale score — fourteen.,NIH脳卒中スケールは14点です。
41,"Calcium is critically elevated at 13.5, and we should check PTH and pursue parathyroid imaging.",カルシウム値が13.5と危機的に上昇しており、PTHを確認して副甲状腺の画像検査を進めるべきです。
42,"We should send a full nephritis workup including ANA, ANCA, anti-GBM, and complement levels.",ANA、ANCA、抗GBM抗体、補体価を含む腎炎の完全な精密検査を提出すべきです。
43,Family meeting is scheduled today.,今日、家族会議が予定されています。
44,Ascites is increasing on exam.,診察上、腹水が増加しています。
45,Bowel sounds are completely absent.,腸雑音が完全に消失しています。
46,Hematology has been consulted and recommends initiating hydroxyurea for this patient's first presentation of sickle cell disease with priapism.,血液内科にコンサルトした結果、持続勃起症を伴う鎌状赤血球症の初発症状に対して、ヒドロキシウレアの開始が推奨されています。
47,An abdominal CT with contrast should be obtained to assess for pancreatic necrosis.,膵壊死を評価するために、造影腹部CTを撮影すべきです。
48,Serum lipase is greater than three times the upper limit of normal — pancreatitis.,血清リパーゼが正常上限の3倍を超えており、膵炎です。
49,The physical therapist will come by this afternoon to assess your strength and balance before we finalize any discharge plans.,退院計画を最終決定する前に、今日の午後、理学療法士が筋力とバランスを評価しに伺います。
50,Fontanelle is full and bulging.,泉門が膨隆して張っています。
51,"Circulating nurse, please confirm the correct specimen label before it goes to pathology.",外回り看護師、病理に出す前に正しい検体ラベルを確認してください。
52,"The 3-week-old presents with projectile non-bilious vomiting after every feeding, and an olive-shaped mass is palpable in the right upper quadrant.",生後3週の乳児が毎回の授乳後に胆汁を含まない噴水状嘔吐を呈しており、右上腹部にオリーブ様の腫瘤が触知されます。
53,The patient is a 78-year-old who fell from standing height and has a displaced femoral neck fracture requiring either hemiarthroplasty or total hip replacement.,患者は立位の高さから転倒した78歳で、人工骨頭置換術または人工股関節全置換術（THA）を要する転位のある大腿骨頸部骨折を負っています。
54,"Given the renal failure, the intensivist and nephrologist agree that continuous renal replacement therapy should be initiated before the end of this shift.",腎不全を考慮し、集中治療医と腎臓内科医は、このシフトの終了前に持続的腎代替療法（CRRT）を開始すべきであると意見が一致しています。
55,Enteral nutrition should be started through the NGT at a low rate and advanced slowly.,経鼻胃管（NGT）経由で経腸栄養を低速度から開始し、ゆっくりと進めるべきです。
56,Have you noticed any swelling in your legs or ankles since admission?,入院してから、脚や足首のむくみに気づきましたか？
57,When did this start?,これはいつ始まりましたか？
58,"It's important to identify the precipitating cause of the DKA, which could be infection, missed insulin doses, or a new medical illness.",感染症、インスリンの打ち忘れ、または新たな疾患など、DKAの誘因を特定することが重要です。
59,Vasopressors are being titrated now.,昇圧剤を現在、調整（漸増・漸減）しています。
60,BP is dropping — vasopressors?,血圧が低下しています、昇圧剤は？
61,Physical therapy evaluated the patient and recommends acute rehab placement rather than direct discharge to home.,理学療法士が患者を評価し、自宅への直接退院ではなく回復期リハビリテーションへの転院を推奨しています。
62,"The patient's MELD score is 22, and liver transplant evaluation should be considered.",患者のMELDスコアは22であり、肝移植の評価を検討すべきです。
63,Patient has known atrial fibrillation.,患者には既知の心房細動があります。
64,Family meeting is needed urgently.,至急、家族会議が必要です。
65,You mentioned feeling short of breath — is it worse lying flat or with activity?,息苦しさを感じるとのことですが、仰向けになった時や動いた時に悪化しますか？
66,Clamp is in place now.,クランプをかけました。
67,Is the patient on steroids?,患者はステロイドを服用していますか？
68,Let's do a lap count before we begin closing — confirm all instruments accounted for.,閉創を始める前にガーゼカウントをしましょう、すべての器具が揃っているか確認してください。
69,The lymph nodes are enlarged.,リンパ節が腫大しています。
70,How are you feeling today?,今日の体調はいかがですか？
71,Neurosurgery has been consulted for urgent evaluation of the large epidural hematoma.,大きな硬膜外血腫の緊急評価のために、脳神経外科にコンサルトされました。
72,"The repeat chest X-ray this morning shows improvement compared to yesterday, so we can wean oxygen gradually.",今朝の胸部X線再検査では昨日と比べて改善が見られるため、酸素を徐々に減量できます。
73,Is the dyspnea worsening today?,今日、呼吸困難は悪化していますか？
74,"Urology has been consulted for the bilateral hydronephrosis, and they are planning urgent ureteral stent placement to relieve the obstruction.",両側水腎症について泌尿器科にコンサルトしており、閉塞を解除するために緊急の尿管ステント留置を計画しています。
75,Discharge is planned for tomorrow.,退院は明日を予定しています。
76,Blood pressure is critically high.,血圧が危険なほど高いです。
77,The patient is stable now.,患者の状態は現在安定しています。
78,Patient has a smoking history.,患者には喫煙歴があります。
79,Ready to close the abdomen.,閉腹の準備ができました。
80,Is the pain radiating anywhere?,痛みはどこかに放散していますか？
81,"On examination, there is significant use of accessory muscles, and the patient is only able to speak in two-to-three word sentences.",診察上、著明な呼吸補助筋の使用が見られ、患者は2〜3語の文でしか話せません。
82,Hold all nephrotoxic medications now.,腎毒性のある薬剤をすべて直ちに一時中止してください。
83,Start IV iron infusion today.,今日から鉄剤の静注を開始してください。
84,"We need to have a sensitive and private conversation with this teenager about substance use, sexual activity, and mental health before completing the visit.",診察を終える前に、この十代の患者と、物質使用、性活動、メンタルヘルスについて、慎重かつプライベートな会話をする必要があります。
85,Patient is under general anesthesia.,患者は全身麻酔下にある。
86,The patient is tolerating oral feeds well and bowel sounds returned.,患者は経口摂取良好であり、腸雑音も回復しました。
87,The ABG shows a respiratory alkalosis with a mild decrease in oxygen tension.,動脈血ガス分析では、軽度の酸素分圧低下を伴う呼吸性アルカローシスを示しています。
88,Are you on any medications?,何か薬を飲んでいますか？
89,Neurovascular exam is currently intact.,現在、神経血管系の所見は正常です。
90,The patient is a 55-year-old diabetic with CKD stage 3 who presents with a sudden worsening of kidney function over the last three days.,患者はCKDステージ3の55歳糖尿病患者で、過去3日間で腎機能の急激な悪化を呈しています。
91,Is there anyone with you today who can provide more history?,今日、詳しい病歴を教えてくれる方は一緒にいらっしゃいますか？
92,Oncology should be involved early given the suspicious lymphadenopathy and constitutional symptoms.,疑わしいリンパ節腫脹と全身症状があるため、腫瘍内科に早期に介入してもらうべきです。
93,The H. pylori test was positive.,ピロリ菌の検査は陽性でした。
94,The telemetry strip shows new-onset atrial fibrillation with a rapid ventricular response rate.,テレメーターの波形は、頻脈を伴う新規発症の心房細動を示しています。
95,We should reverse anticoagulation immediately given the intracranial bleed on CT scan.,CTスキャンでの頭蓋内出血を考慮し、ただちに抗凝固療法を拮抗すべきです。
96,The patient has a history of sickle cell disease and is presenting with a vaso-occlusive crisis.,患者は鎌状赤血球症の既往があり、血管閉塞クリーゼを呈しています。
97,"The PSA level is significantly elevated, and the digital rectal exam reveals a hard irregular prostate, raising strong concern for prostate cancer with obstruction.",PSA値が著明に上昇しており、直腸指診で硬く不規則な前立腺が認められるため、閉塞を伴う前立腺がんの懸念が強まっています。
98,The CT head shows a hyperdense middle cerebral artery sign consistent with proximal MCA occlusion — please activate the stroke thrombectomy protocol.,頭部CTで近位MCA閉塞に一致する高吸収血管サインが見られます。脳卒中の血栓回収プロトコルを稼働させてください。
99,Weight bearing is still restricted.,荷重は依然として制限されています。
100,"The FENa is less than 1%, which supports a pre-renal etiology for this AKI.",ナトリウム排泄率（FENa）が1%未満であり、このAKIが腎前性であることを裏付けています。
101,"The patient is a 22-year-old with type 1 diabetes presenting in DKA with a glucose of 620, pH 7.1, and positive serum ketones.",患者は1型糖尿病の22歳で、血糖値620、pH 7.1、血清ケトン体陽性のDKAで受診しています。
102,Daily sedation vacation was performed.,毎日の鎮静中断（sedation vacation）が実施されました。
103,Does the child have any known allergies or history of adverse medication reactions?,お子さんに既知のアレルギーや薬の副作用の既往はありますか？
104,"Have you had any fever, chills, or night sweats recently?",最近、発熱、悪寒、または寝汗はありましたか？
105,"The nursing team noted that the patient refused medications twice overnight, which may affect recovery.",夜間に患者が2回服薬を拒否したと看護チームから記録があり、回復に影響する可能性があります。
106,Dialysis may be needed soon.,まもなく透析が必要になるかもしれません。
107,I want to check how you've been feeling since we started the antibiotics.,抗菌薬を開始してから、具合がどうか確認したいです。
108,We need a consult today.,今日、専門科へのコンサルトが必要です。
109,"It's very important that you let us know right away if you experience any chest pain, sudden weakness, or vision changes.",胸の痛み、突然の脱力感、視力の変化などを感じたら、すぐに知らせていただくことが非常に重要です。
110,We should obtain a CT chest to evaluate for possible pulmonary embolism.,肺塞栓症の可能性を評価するため、胸部CTを撮影すべきです。
111,The patient has been in the ICU for 12 days and VAP precautions should be reinforced.,患者はICUに12日間入室しており、人工呼吸器関連肺炎（VAP）予防策を強化すべきです。
112,We're hoping to have you up and walking today with the help of a nurse.,今日は看護師の介助で起きて歩けるようになると期待しています。
113,"The blood loss is higher than anticipated, so let's order two more units of packed red blood cells just in case.",出血量が予想よりも多いので、念のため濃厚赤血球をさらに2単位オーダーしましょう。
114,Last immunization was when?,最後の予防接種はいつですか？
115,Urine output is critically low.,尿量が危機的に少ないです。
116,"Anesthesia, the patient moved slightly during the last incision — are you satisfied with the depth of anesthesia right now?",麻酔科、最後の切開の際に患者が少し動きました、現在の麻酔深度は十分ですか？
117,Pupils are unequal and fixed.,瞳孔は左右不同で対光反射がありません。
118,Start insulin drip immediately.,インスリンの点滴をただちに開始してください。
119,Start IV fluids immediately now.,直ちに静脈内輸液を開始してください。
120,"We need to determine if the AKI is pre-renal, intrinsic renal, or post-renal in origin.",AKIの原因が腎前性、腎性、腎後性のいずれであるかを判断する必要があります。
121,Prone positioning has been maintained for 16 hours with improvement in oxygenation and we plan to re-evaluate each day based on P/F ratio.,腹臥位療法を16時間維持したところ酸素化の改善が見られ、P/F比に基づいて毎日再評価する予定です。
122,Social work has been involved to coordinate safe discharge planning.,安全な退院計画を調整するために、ソーシャルワーカーが介入しています。
123,The patient has left-sided weakness and facial droop — onset approximately two hours ago.,患者には左側の脱力と顔面下垂があり、発症は約2時間前です。
124,"We should perform a diagnostic paracentesis to check for spontaneous bacterial peritonitis, and if confirmed, start empiric third-generation cephalosporin antibiotics.",自然発症細菌性腹膜炎をチェックするために診断的腹腔穿刺を実施し、確認された場合は経験的な第3世代セファロスポリン系抗菌薬を開始すべきです。
125,Patient is actively bleeding now.,患者は現在活動性の出血をしています。
126,We should discuss goals of care with the family before escalating to a more aggressive treatment plan.,より侵襲的な治療計画にステップアップする前に、家族と治療方針（ケアの目標）について話し合うべきです。
127,Patient has bloody stool today.,患者は今日、血便があります。
128,TSH level is undetectable now.,TSH値が現在検出感度以下（測定不能）です。
129,"Before closing, let's do a thorough washout of the peritoneal cavity and confirm there are no additional bleeding sites we've missed.",閉創の前に、腹腔内を徹底的に洗浄し、見逃している出血部位がないか確認しましょう。
130,"The 24-hour urine cortisol result is three times the upper limit of normal, and we should pursue pituitary MRI to evaluate for Cushing's disease.",24時間尿中コルチゾール値が正常上限の3倍であり、クッシング病の評価のために下垂体MRIを進めるべきです。
131,The IV line needs replacing.,点滴ラインの交換が必要です。
132,I'm going to extend the incision slightly to improve exposure of the hepatic hilum — please adjust the light accordingly.,肝門部の視野を良くするために切開を少し延長します、それに合わせてライトを調整してください。
133,"Because the patient is outside the tPA window, we should discuss endovascular thrombectomy with neurointerventional radiology given the large vessel occlusion.",患者はtPAの適応時間外であるため、大血管閉塞を考慮して血管内血栓回収療法について話し合うべきです。
134,The bladder scan shows retention.,膀胱スキャンで尿閉が認められます。
135,"Anesthesia, can you confirm the patient received prophylactic antibiotics already?",麻酔科、患者がすでに予防的抗菌薬を投与されたか確認できますか？
136,Blood glucose is very high.,血糖値が非常に高いです。
137,The MRI confirms a full-thickness rotator cuff tear — surgery versus conservative management should be discussed.,MRIで腱板の全層断裂が確認されました。手術か保存的治療かについて話し合う必要があります。
138,CVP is trending downward today.,今日、CVP（中心静脈圧）は低下傾向です。
139,Have you noticed any blood in your urine or bowel movements?,尿や便に血が混じっていることに気づきましたか？
140,Pulse is irregular and rapid.,脈が不規則で速いです。
141,"Given the history of NSAID use and dehydration from vomiting, pre-renal azotemia is the most likely explanation for this acute kidney injury.",NSAIDsの使用歴と嘔吐による脱水を考慮すると、この急性腎障害の最も可能性の高い原因は腎前性高窒素血症です。
142,Speech is slurred and slow.,ろれつが回っておらず、話すのが遅いです。
143,"I need you to describe the pain in detail, including when it started and whether anything makes it better or worse.",いつ始まったか、何をすると良く（悪く）なるかを含め、痛みを詳しく教えてください。
144,Is the baby breastfeeding well?,赤ちゃんは母乳をよく飲んでいますか？
145,Swan-Ganz catheter is placed.,スワンガンツカテーテルが留置されています。
146,"The child was brought in for a limp — given the fever and elevated inflammatory markers, we cannot rule out septic arthritis and should consult orthopedics.",子供は跛行で来院しました。発熱と炎症マーカーの上昇を考慮すると化膿性関節炎を除外できず、整形外科にコンサルトすべきです。
147,ERCP is being planned tomorrow.,明日、ERCP（内視鏡的逆行性胆管膵管造影）が計画されています。
148,Did you fall or get hurt?,転んだり、怪我をしたりしましたか？
149,Let's call a brief pause — I want to ensure the margin is clear before we proceed any further with the resection.,少し止めましょう、これ以上切除を進める前に、切除断端（マージン）がクリアであることを確認したいです。
150,"The peripheral blood smear shows hypersegmented neutrophils, which in this clinical context is highly suggestive of B12 or folate deficiency.",末梢血塗抹標本で過分葉好中球が見られ、この臨床的背景においてビタミンB12または葉酸の欠乏を強く示唆しています。
151,Nausea and vomiting persist today.,今日も吐き気と嘔吐が続いています。
152,"Before proceeding with lumbar puncture, we need to confirm there is no evidence of elevated intracranial pressure on the fundoscopic exam.",腰椎穿刺を進める前に、眼底検査で頭蓋内圧亢進の所見がないことを確認する必要があります。
153,"The ventilator shows elevated plateau pressure, which may indicate worsening lung compliance.",人工呼吸器でプラトー圧の上昇が見られ、肺コンプライアンスの悪化を示している可能性があります。
154,Foley catheter output — 10 mL.,尿道カテーテル（フォーリー）の排尿量は10mLです。
155,Is the pain constant?,痛みは持続的ですか？
156,Pain is controlled at baseline.,痛みはベースラインでコントロールされています。
157,"Today's goals include weaning vasopressor support, trialing a lower sedation dose, and checking for signs of end-organ recovery on morning labs.",今日の目標は、昇圧剤サポートの減量、より低用量の鎮静のトライアル、朝の採血での終末臓器機能回復の兆候確認です。
158,"The patient reports polyuria, polydipsia, and a 15-pound weight loss over two months.",患者は多尿、多飲、および2ヶ月間で15ポンドの体重減少を報告しています。
159,"The post-operative plan includes early weight-bearing as tolerated, PT and OT evaluation on post-operative day one, and discharge to acute rehab.",術後の計画には、耐えられる範囲での早期荷重、術後1日目の理学療法および作業療法評価、回復期リハビリテーションへの退院が含まれます。
160,"Let's discuss the patient's goals of care, as the prognosis with relapsed lymphoma is guarded and palliative options should be explored.",再発リンパ腫の予後は不良であり、緩和的な選択肢も模索すべきであるため、患者のケアの目標について話し合いましょう。
161,"Good morning — I'm one of the doctors on the medicine team, and I'll be checking in with you every morning during your stay.",おはようございます。私は内科チームの医師の一人で、入院中は毎朝様子を伺いに来ます。
162,Let's check a STAT ABG to assess the patient's ventilation and oxygenation status now.,患者の換気と酸素化の状態を今すぐ評価するために、至急動脈血ガス（ABG）をチェックしましょう。
163,"The patient's creatinine has doubled in 48 hours, meeting criteria for AKI stage two.",患者のクレアチニン値が48時間で2倍になり、急性腎障害（AKI）ステージ2の基準を満たしています。
164,We need to avoid all contrast agents and nephrotoxic medications while the creatinine remains elevated and kidney function is compromised.,クレアチニン値が上昇したままで腎機能が低下している間は、すべての造影剤と腎毒性のある薬剤を避ける必要があります。
165,"Can you tell me if you've had any recent illnesses, travel abroad, or exposure to anyone who has been sick recently?",最近の病気、海外渡航歴、または最近病気になった人との接触があったかどうか教えていただけますか？
166,Serial ultrasounds show improving cardiac function and we're cautiously weaning vasopressors.,連続したエコー検査で心機能の改善が見られ、昇圧剤を慎重に減量しています。
167,We should activate the stroke protocol and obtain emergent CT head and CTA.,脳卒中プロトコルを稼働させ、緊急の頭部CTおよびCTAを撮影すべきです。
168,We should evaluate for sepsis given the fever and irritability in a neonate.,新生児の発熱と不機嫌（易刺激性）を考慮し、敗血症の評価を行うべきです。
169,Thyroid is visibly enlarged today.,甲状腺が今日、視覚的に腫大しています。
170,Spine surgery has been consulted for the L4-L5 disc herniation with progressive neurological deficit.,進行性の神経脱落症状を伴うL4-L5椎間板ヘルニアについて、脊椎外科にコンサルトされました。
171,Respiratory syncytial virus is the most common cause of bronchiolitis in this age group.,RSウイルスは、この年齢層における細気管支炎の最も一般的な原因です。
172,I need a larger retractor — this exposure isn't giving me enough room.,もっと大きな開創器が必要です、この視野では十分なスペースがありません。
173,INR is supratherapeutic — hold warfarin.,INRが治療域を超えています、ワルファリンを一時中止してください。
174,Newborn failed hearing screen today.,新生児が今日、聴覚スクリーニングでリファー（再検査）となりました。
175,The ARDS net protocol is being followed — we're using low tidal volumes of 6 mL/kg ideal body weight and targeting plateau pressures below 30 cmH2O.,ARDS Netプロトコルに従っています。理想体重あたり6mL/kgの低一回換気量を使用し、プラトー圧を30 cmH2O未満に目標設定しています。
176,Oxygen saturation is ninety-two percent.,酸素飽和度は92%です。
177,Let's start a short-acting beta-agonist and reassess the response in thirty minutes.,短時間作用性β作動薬を開始し、30分後に反応を再評価しましょう。
178,Does the patient have any implanted hardware from prior orthopedic surgeries we should be aware of?,把握しておくべき、過去の整形外科手術によるインプラント（金具）は入っていますか？
179,"It's important to know if you've had any recent trauma, falls, or accidents before we proceed with the examination.",診察を進める前に、最近の外傷、転倒、事故などがなかったかを知ることが重要です。
180,GI bleeding is suspected — let's cross-match two units and start a PPI drip.,消化管出血が疑われます。2単位の交差適合試験を行い、PPIの点滴を開始しましょう。
181,The patient presents within the tPA window for acute ischemic stroke treatment.,患者は、急性期脳梗塞治療のtPA投与可能時間内に受診しています。
182,"Compartment pressures in the anterior compartment were measured at 45 mmHg, which exceeds the threshold — emergent four-compartment fasciotomy is indicated now.",前方コンパートメントの内圧が45 mmHgと測定され、閾値を超えています。今すぐ緊急の4コンパートメント筋膜切開術の適応です。
183,We're going to make a small change to your blood pressure medication today because your readings have been on the lower side.,血圧の数値が低めに出ているため、今日は血圧の薬を少し変更します。
184,Are you still having pain?,まだ痛みはありますか？
185,The patient's blood pressure dropped overnight and requires closer monitoring.,患者の血圧が夜間に低下したため、より厳密なモニタリングが必要です。
186,The patient failed the SBT today and will require continued mechanical ventilation support.,患者は今日のSBTに失敗し、引き続き機械換気サポートを必要とします。
187,"Developmental surveillance at this visit shows the 18-month-old has no words yet, which warrants referral to early intervention services immediately.",今回の受診での発達評価によると、18ヶ月児がまだ単語を発しておらず、直ちに早期介入サービスに紹介する必要があります。
188,The elevated LDH and indirect bilirubin suggest a hemolytic process is likely occurring.,LDHと間接ビリルビンの上昇は、溶血過程が起こっている可能性が高いことを示唆しています。
189,Bilateral leg edema is present.,両下肢の浮腫が認められます。
190,We should titrate the nitroglycerin drip to keep the systolic blood pressure above 90.,収縮期血圧を90以上に保つよう、ニトログリセリンの点滴を調節すべきです。
191,We should start IV fluids and an insulin drip and monitor every hour.,輸液とインスリン点滴を開始し、1時間ごとにモニタリングすべきです。
192,The 12-lead EKG shows diffuse ST elevations consistent with an anterior STEMI.,12誘導心電図は、前壁STEMIに一致する広範なST上昇を示しています。
193,Bone density scan was ordered.,骨密度検査がオーダーされました。
194,"UA shows 3+ protein and dysmorphic RBCs, suggesting a glomerulonephritis syndrome.",尿検査で蛋白3+と変形赤血球が認められ、糸球体腎炎が示唆されます。
195,"I want to review your symptoms from last night, because the nursing staff noted you had some difficulty breathing around 3 AM.",午前3時頃に呼吸が苦しそうだったと看護スタッフから記録があったので、昨夜からの症状を確認させてください。
196,Let's do the time-out before we make the first incision.,最初の切開の前にタイムアウトを行いましょう。
197,"Before we begin, let's confirm the patient's name, procedure, operative site, and any known allergies — everyone please verify.",始める前に、患者名、術式、手術部位、既知のアレルギーを確認しましょう、全員確認をお願いします。
198,Troponin is significantly elevated now.,トロポニンが現在著明に上昇しています。
199,The patient has a history of Crohn's disease presenting with a disease flare today.,患者はクローン病の既往があり、今日、疾患の再燃を呈しています。
200,The repeat chest X-ray shows new bilateral infiltrates concerning for pneumonia.,胸部X線の再検査で、肺炎が疑われる新たな両側浸潤影が見られます。
201,"The LP results show xanthochromia, which is consistent with subarachnoid hemorrhage.",腰椎穿刺の結果はキサントクロミーを示しており、くも膜下出血と一致します。
202,Parent education about fever management and return precautions is essential before discharge.,退院前に、発熱時の管理と再受診の目安に関する保護者への教育が不可欠です。
203,The bleeding is coming from a small vessel — please pass the cautery.,小さな血管から出血しています、電気メスを渡してください。
204,"A low-residue diet and bowel rest are recommended initially, but if the patient does not improve, we will need to escalate to surgical management for this obstruction.",最初は低残渣食と腸管安静が推奨されますが、患者が改善しない場合、この腸閉塞に対して外科的管理へのステップアップが必要になります。
205,"The patient has severe osteoporosis, which complicates fixation and increases the risk of re-fracture.",患者には重度の骨粗鬆症があり、これが固定を困難にし、再骨折のリスクを高めています。
206,"Since you have a history of blood clots, we're going to keep you on blood thinners throughout your stay as a precaution.",血栓の既往があるため、予防措置として入院中は抗凝固薬の投与を続けます。
207,The patient remains on norepinephrine at 0.15 mcg/kg/min for septic shock.,敗血症性ショックのため、患者には引き続きノルエピネフリンが0.15 mcg/kg/minで投与されています。
208,Nephrology has been consulted and agrees that dialysis may be necessary if no improvement occurs.,腎臓内科にコンサルト済みで、改善が見られない場合は透析が必要になるかもしれないと同意しています。
209,Estimated blood loss — 200 mL.,推定出血量は200mLです。
210,The patient's glucose is 480 mg/dL with positive ketones — concerning for DKA.,患者の血糖値は480 mg/dLでケトン体陽性であり、DKAが懸念されます。
211,Do you feel dizzy standing up?,立ち上がるとめまいがしますか？
212,The patient presents with progressive dyspnea on exertion over the past month.,患者は過去1ヶ月間、進行性の労作時呼吸困難を呈しています。
213,Schedule urgent colonoscopy today please.,今日、至急の大腸内視鏡検査を予定してください。
214,Can we get more retraction?,もう少し牽引してもらえますか？
215,Peripheral smear shows schistocytes present.,末梢血塗抹標本で破砕赤血球が見られます。
216,Has the pain changed in character since it first started today?,今日痛みが始まってから、痛みの性質は変化しましたか？
217,"This patient with MEN1 syndrome requires coordinated management involving endocrinology, gastroenterology, and surgery for the multiple tumors identified.",このMEN1症候群の患者は、内分泌内科、消化器内科、外科が連携した管理を必要とします。
218,"Post-operative wound care, antibiotic prophylaxis duration, and the plan for implant removal in 12 months were all reviewed with the patient before discharge.",術後の創傷ケア、予防的抗菌薬の投与期間、12ヶ月後のインプラント抜去の計画がすべて、退院前に患者と確認されました。
219,"We should reassess the patient's volume status carefully, because both over-resuscitation and under-resuscitation can worsen the outcome in acute kidney injury.",急性腎障害では輸液過剰も輸液不足も転帰を悪化させる可能性があるため、患者の体液量状態を慎重に再評価すべきです。
220,The patient requires a cervical spine MRI urgently given the new-onset upper extremity weakness and hyperreflexia following this neck injury.,この頸部損傷に続いて新規に発症した上肢の脱力と反射亢進を考慮し、患者には至急の頸椎MRIが必要です。
221,We need to monitor your vital signs closely while we figure out what's causing your symptoms and determine the best treatment.,症状の原因を特定し、最適な治療法を決定する間、バイタルサインを注意深くモニターする必要があります。
222,Keep the suction nearby because we may encounter more bleeding here.,ここでさらなる出血に遭遇するかもしれないので、吸引を近くに置いておいてください。
223,Patient needs urgent ORIF surgery.,患者には緊急の観血的整復固定術（ORIF）が必要です。
224,We need to reassess pain control before considering early discharge.,早期退院を検討する前に、疼痛コントロールを再評価する必要があります。
